idf,dte,departe,village,resident,potable,main,latrine,ordures,porcheri
107,04mar2017,Dabou,GBOUGBO,9,Oui,Oui,Oui,Non,Non
251,01apr2017,Dabou,DEBRIMOU,16,Oui,Non,Oui,Non,Non
84,02mar2017,Dabou,TIAHA,5,Non,Non,Oui,Non,Non
82,02mar2017,Dabou,TIAHA,3,Non,Non,Oui,Non,Non
92,03mar2017,Dabou,ALLABA,6,Non,Non,Non,Non,Oui
73,02mar2017,Dabou,MOPOYEM,10,Oui,Non,Oui,Non,Oui
88,03mar2017,Dabou,ALLABA,6,Non,Non,Oui,Oui,Non
58,28feb2017,Dabou,AGBAILLE,7,Oui,Non,Non,Non,Non
110,04mar2017,Dabou,GBOUGBO,7,Oui,Non,Oui,Oui,Non
233,31mar2017,Dabou,ORBAFF,3,Oui,Non,Oui,Oui,Oui
114,04mar2017,Dabou,GBOUGBO,6,Oui,Non,Oui,Non,Non
105,03mar2017,Dabou,KPASS,10,Oui,Non,Oui,Non,Non
244,01apr2017,Dabou,DEBRIMOU,13,Oui,Non,Oui,Oui,Non
243,01apr2017,Dabou,DEBRIMOU,4,Oui,Non,Oui,Oui,Non
86,02mar2017,Dabou,TIAHA,6,Oui,Non,Oui,Non,Non
108,04mar2017,Dabou,GBOUGBO,6,Oui,Non,Oui,Oui,Non
97,03mar2017,Dabou,KPASS,3,Oui,Oui,Oui,Non,Non
209,30mar2017,Dabou,YASSAP_A,15,Oui,Non,Oui,Non,Non
83,02mar2017,Dabou,TIAHA,7,Non,Non,Oui,Oui,Non
215,30mar2017,Dabou,YASSAP_B,6,Non,Non,Non,Oui,Non
120,04mar2017,Dabou,ARMEBE,6,Oui,Non,Non,Oui,Non
55,28feb2017,Dabou,AGBAILLE,2,Non,Non,Non,Oui,Oui
228,31mar2017,Dabou,AKRADIO,4,Oui,Non,Oui,Non,Non
227,31mar2017,Dabou,AKRADIO,10,Oui,Non,Oui,Non,Non
111,04mar2017,Dabou,GBOUGBO,18,Oui,Non,Oui,Non,Non
85,02mar2017,Dabou,TIAHA,10,Oui,Non,Oui,Non,Non
98,03mar2017,Dabou,KPASS,3,Oui,Non,Oui,Oui,Non
216,30mar2017,Dabou,YASSAP_B,9,Oui,Oui,Non,Non,Non
100,03mar2017,Dabou,KPASS,7,Oui,Non,Non,Oui,Non
87,03mar2017,Dabou,ALLABA,5,Non,Non,Non,Non,Oui
